"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"193.","TRON: Legacy","6.8","(2010)","125 min","
Action, Adventure, Sci-Fi            ","305,918","$172.06M","
    Director:
Joseph Kosinski
                 | 
    Stars:
Jeff Bridges, 
Garrett Hedlund, 
Olivia Wilde, 
Bruce Boxleitner
    ","
    The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."
"194.","Jumanji: Welcome to the Jungle","6.9","(2017)","119 min","
Action, Adventure, Comedy            ","298,981","$404.52M","
    Director:
Jake Kasdan
                 | 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
    ","
    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
"195.","Les Mis¨¦rables","7.6","(2012)","158 min","
Drama, History, Musical            ","298,638","$148.81M","
    Director:
Tom Hooper
                 | 
    Stars:
Hugh Jackman, 
Russell Crowe, 
Anne Hathaway, 
Amanda Seyfried
    ","
    In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
"196.","True Grit","7.6","(2010)","110 min","
Drama, Western            ","298,621","$171.24M","
    Directors:
Ethan Coen, 
Joel Coen
                 | 
    Stars:
Jeff Bridges, 
Matt Damon, 
Hailee Steinfeld, 
Josh Brolin
    ","
    A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer."
"197.","The Interview","6.5","(II) (2014)","112 min","
Action, Adventure, Comedy            ","297,454","$6.11M","
    Directors:
Evan Goldberg, 
Seth Rogen
                 | 
    Stars:
James Franco, 
Seth Rogen, 
Randall Park, 
Lizzy Caplan
    ","
    Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jung-Un, they are recruited by the CIA to assassinate him."
"198.","1917","8.3","(2019)","119 min","
Drama, War            ","297,400","$159.23M","
    Director:
Sam Mendes
                 | 
    Stars:
Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth
    ","
    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
"199.","Jack Reacher","7.0","(2012)","130 min","
Action, Thriller            ","297,353","$80.07M","
    Director:
Christopher McQuarrie
                 | 
    Stars:
Tom Cruise, 
Rosamund Pike, 
Richard Jenkins, 
Werner Herzog
    ","
    A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims."
"200.","Hugo","7.5","(2011)","126 min","
Drama, Family, Fantasy            ","295,588","$73.86M","
    Director:
Martin Scorsese
                 | 
    Stars:
Asa Butterfield, 
Chlo<U+00EB> Grace Moretz, 
Christopher Lee, 
Ben Kingsley
    ","
    In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
"201.","How to Train Your Dragon 2","7.8","(2014)","102 min","
Animation, Action, Adventure            ","294,073","$177.00M","
    Director:
Dean DeBlois
                 | 
    Stars:
Jay Baruchel, 
Cate Blanchett, 
Gerard Butler, 
Craig Ferguson
    ","
    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
"202.","Transformers: Age of Extinction","5.6","(2014)","165 min","
Action, Adventure, Sci-Fi            ","291,953","$245.44M","
    Director:
Michael Bay
                 | 
    Stars:
Mark Wahlberg, 
Nicola Peltz, 
Jack Reynor, 
Stanley Tucci
    ","
    When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help."
"203.","Knives Out","7.9","(2019)","131 min","
Comedy, Crime, Drama            ","290,655","$165.36M","
    Director:
Rian Johnson
                 | 
    Stars:
Daniel Craig, 
Chris Evans, 
Ana de Armas, 
Jamie Lee Curtis
    ","
    A detective investigates the death of a patriarch of an eccentric, combative family."
"204.","Real Steel","7.1","(2011)","127 min","
Action, Drama, Family            ","290,412","$85.47M","
    Director:
Shawn Levy
                 | 
    Stars:
Hugh Jackman, 
Evangeline Lilly, 
Dakota Goyo, 
Anthony Mackie
    ","
    In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
"205.","Fifty Shades of Grey","4.1","(2015)","125 min","
Drama, Romance, Thriller            ","289,751","$166.17M","
    Director:
Sam Taylor-Johnson
                 | 
    Stars:
Dakota Johnson, 
Jamie Dornan, 
Jennifer Ehle, 
Eloise Mumford
    ","
    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
"206.","Salt","6.4","(2010)","100 min","
Action, Mystery, Thriller            ","287,697","$118.31M","
    Director:
Phillip Noyce
                 | 
    Stars:
Angelina Jolie, 
Liev Schreiber, 
Chiwetel Ejiofor, 
Daniel Olbrychski
    ","
    A CIA agent goes on the run after a defector accuses her of being a Russian spy."
"207.","Spider-Man: Far from Home","7.5","(2019)","129 min","
Action, Adventure, Sci-Fi            ","286,553","$390.53M","
    Director:
Jon Watts
                 | 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
    ","
    Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
"208.","The Expendables 2","6.6","(2012)","103 min","
Action, Adventure, Thriller            ","285,751","$85.02M","
    Director:
Simon West
                 | 
    Stars:
Sylvester Stallone, 
Liam Hemsworth, 
Randy Couture, 
Jean-Claude Van Damme
    ","
    Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
"209.","Ant-Man and the Wasp","7.1","(2018)","118 min","
Action, Adventure, Comedy            ","285,092","$216.65M","
    Director:
Peyton Reed
                 | 
    Stars:
Paul Rudd, 
Evangeline Lilly, 
Michael Pe<U+00F1>a, 
Walton Goggins
    ","
    As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
"210.","The Secret Life of Walter Mitty","7.3","(2013)","114 min","
Comedy, Drama, Fantasy            ","284,937","$58.24M","
    Director:
Ben Stiller
                 | 
    Stars:
Ben Stiller, 
Kristen Wiig, 
Jon Daly, 
Kathryn Hahn
    ","
    When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he could have ever imagined."
"211.","The Irishman","7.9","(2019)","209 min","
Biography, Crime, Drama            ","284,402","$94.84M","
    Director:
Martin Scorsese
                 | 
    Stars:
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
    ","
    An aging hitman recalls his time with the mob and the intersecting events with his friend, Jimmy Hoffa, through the 1950-70s."
"212.","The Book of Eli","6.9","(2010)","118 min","
Action, Adventure, Drama            ","284,387","$112.20M","
    Directors:
Albert Hughes, 
Allen Hughes
                 | 
    Stars:
Denzel Washington, 
Mila Kunis, 
Ray Stevenson, 
Gary Oldman
    ","
    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
"213.","The Hangover Part III","5.8","(2013)","100 min","
Comedy, Crime            ","284,128","$15.32M","
    Director:
Todd Phillips
                 | 
    Stars:
Bradley Cooper, 
Zach Galifianakis, 
Ed Helms, 
Justin Bartha
    ","
    When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run."
"214.","About Time","7.8","(I) (2013)","123 min","
Comedy, Drama, Fantasy            ","283,896","$139.85M","
    Director:
Richard Curtis
                 | 
    Stars:
Domhnall Gleeson, 
Rachel McAdams, 
Bill Nighy, 
Lydia Wilson
    ","
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
"215.","Taken 2","6.3","(2012)","92 min","
Action, Adventure, Thriller            ","282,535","$4.56M","
    Director:
Olivier Megaton
                 | 
    Stars:
Liam Neeson, 
Famke Janssen, 
Maggie Grace, 
Leland Orser
    ","
    In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
"216.","Snowpiercer","7.1","(2013)","126 min","
Action, Drama, Sci-Fi            ","282,482","$90.38M","
    Director:
Bong Joon Ho
                 | 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
    ","
    In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges."
"217.","RED","7.0","(2010)","111 min","
Action, Comedy, Crime            ","280,448","$72.08M","
    Director:
Robert Schwentke
                 | 
    Stars:
Bruce Willis, 
Helen Mirren, 
Morgan Freeman, 
Mary-Louise Parker
    ","
    When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
"218.","10 Cloverfield Lane","7.2","(2016)","103 min","
Drama, Horror, Mystery            ","277,793","$113.20M","
    Director:
Dan Trachtenberg
                 | 
    Stars:
John Goodman, 
Mary Elizabeth Winstead, 
John Gallagher Jr., 
Douglas M. Griffin
    ","
    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
"219.","The Bourne Legacy","6.7","(2012)","135 min","
Action, Adventure, Thriller            ","277,532","$150.16M","
    Director:
Tony Gilroy
                 | 
    Stars:
Jeremy Renner, 
Rachel Weisz, 
Edward Norton, 
Scott Glenn
    ","
    An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
"220.","Neighbors","6.3","(I) (2014)","97 min","
Comedy            ","277,036","$72.31M","
    Director:
Nicholas Stoller
                 | 
    Stars:
Seth Rogen, 
Rose Byrne, 
Zac Efron, 
Lisa Kudrow
    ","
    After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
"221.","Bridge of Spies","7.6","(2015)","142 min","
Drama, History, Thriller            ","276,267","$106.58M","
    Director:
Steven Spielberg
                 | 
    Stars:
Tom Hanks, 
Mark Rylance, 
Alan Alda, 
Amy Ryan
    ","
    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
"222.","300: Rise of an Empire","6.2","(2014)","102 min","
Action, Drama            ","273,490","$281.72M","
    Director:
Noam Murro
                 | 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
    ","
    Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy."
"223.","The Hunger Games: Mockingjay - Part 2","6.5","(2015)","137 min","
Action, Adventure, Sci-Fi            ","271,015","$220.16M","
    Director:
Francis Lawrence
                 | 
    Stars:
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Woody Harrelson
    ","
    Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem."
"224.","Mission: Impossible - Fallout","7.7","(2018)","147 min","
Action, Adventure, Thriller            ","270,211","$213.77M","
    Director:
Christopher McQuarrie
                 | 
    Stars:
Tom Cruise, 
Henry Cavill, 
Ving Rhames, 
Simon Pegg
    ","
    Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
"225.","Solo: A Star Wars Story","6.9","(2018)","135 min","
Action, Adventure, Sci-Fi            ","268,220","$54.01M","
    Director:
Ron Howard
                 | 
    Stars:
Alden Ehrenreich, 
Woody Harrelson, 
Emilia Clarke, 
Donald Glover
    ","
    During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion."
